date,home_team,home_score,away_team,away_score
2011-03-19,Huachipato,0,La Serena,4
2011-03-19,Nublense,1,San Felipe,0
2011-03-19,U. Espanola,3,Deportes Iquique,0
2011-03-19,O'Higgins,1,U. De Chile,1
2011-03-18,U. Catolica,2,S. Morning,1
2011-03-13,U. Catolica,2,Nublense,0
2011-03-13,Deportes Iquique,4,S. Wanderers,1
2011-03-13,S. Morning,1,U. Espanola,1
2011-03-13,Cobreloa,2,O'Higgins,3
2011-03-13,La Serena,2,Palestino,3
2011-03-12,San Felipe,2,Huachipato,1
2011-03-12,U. De Concepcion,1,A. Italiano,0
2011-03-11,Colo Colo,2,Union La Calera,0
2011-03-06,Palestino,1,U. Catolica,2
2011-03-06,U. Espanola,1,Colo Colo,2
2011-03-06,S. Wanderers,4,S. Morning,1
2011-03-06,Union La Calera,2,U. De Concepcion,0
2011-03-05,Nublense,2,La Serena,3
2011-03-05,U. De Chile,0,San Felipe,2
2011-03-05,Huachipato,3,Deportes Iquique,1
2011-03-05,O'Higgins,3,Cobresal,0
2011-03-04,A. Italiano,1,Cobreloa,0
2011-02-27,San Felipe,1,U. Espanola,1
2011-02-27,S. Morning,2,A. Italiano,2
2011-02-27,Deportes Iquique,2,Nublense,1
2011-02-27,U. De Concepcion,1,U. De Chile,5
2011-02-27,Cobreloa,0,Union La Calera,1
2011-02-27,Cobresal,2,Palestino,1
2011-02-26,U. Catolica,1,S. Wanderers,1
2011-02-25,La Serena,1,O'Higgins,2
2011-02-24,U. De Chile,1,S. Morning,2
2011-02-24,U. Espanola,3,Cobresal,0
2011-02-23,Deportes Iquique,1,U. De Concepcion,3
2011-02-23,A. Italiano,2,San Felipe,1
2011-02-23,Huachipato,3,S. Wanderers,1
2011-02-23,Palestino,0,Colo Colo,3
2011-02-22,Nublense,2,Cobreloa,1
2011-02-22,Union La Calera,2,La Serena,0
2011-02-22,O'Higgins,2,U. Catolica,3
2011-02-20,U. De Chile,2,U. Espanola,1
2011-02-20,San Felipe,2,Colo Colo,0
2011-02-19,U. Catolica,2,Huachipato,1
2011-02-19,U. De Concepcion,0,Cobreloa,1
2011-02-19,S. Morning,3,Deportes Iquique,1
2011-02-19,Cobresal,3,Union La Calera,1
2011-02-18,La Serena,2,A. Italiano,3
2011-02-18,Nublense,2,O'Higgins,3
2011-02-18,S. Wanderers,1,Palestino,1
2011-02-13,A. Italiano,3,Cobresal,2
2011-02-13,Cobreloa,1,U. De Chile,4
2011-02-12,Deportes Iquique,1,San Felipe,1
2011-02-12,Colo Colo,1,U. De Concepcion,5
2011-02-12,Huachipato,3,Nublense,1
2011-02-12,La Serena,0,S. Morning,0
2011-02-12,Union La Calera,2,U. Catolica,1
2011-02-11,U. Espanola,2,S. Wanderers,1
2011-02-06,Union La Calera,1,San Felipe,0
2011-02-06,Palestino,1,U. Espanola,2
2011-02-06,S. Morning,2,O'Higgins,4
2011-02-06,Cobreloa,0,Deportes Iquique,0
2011-02-05,U. De Chile,3,Nublense,1
2011-02-05,U. De Concepcion,0,La Serena,0
2011-02-05,S. Wanderers,2,Colo Colo,1
2011-02-05,Cobresal,3,Huachipato,2
2011-02-04,U. Catolica,3,A. Italiano,1
2011-01-30,U. Espanola,0,Cobreloa,2
2011-01-30,Colo Colo,0,Cobresal,3
2011-01-30,S. Morning,1,Union La Calera,1
2011-01-30,San Felipe,3,O'Higgins,1
2011-01-29,Huachipato,1,U. De Concepcion,0
2011-01-29,La Serena,1,U. De Chile,1
2011-01-29,Nublense,2,S. Wanderers,0
2011-01-29,A. Italiano,1,Palestino,3
2011-01-28,Deportes Iquique,0,U. Catolica,2
